"","Treatment","Vehicle","Compound","Class"
"5500024030403071907255.C05.CEL","Compound","MCF7_1","Training_1","1"
"5500024030403071907253.A09.CEL","Compound","MCF7_2","Training_2","1"
"5500024030402071707279.B01.CEL","Compound","MCF7_3","Training_3","0"
"5500024030403071907257.G04.CEL","Compound","MCF7_4","Training_4","1"
"5500024037496121008324.E08.CEL","Compound","MCF7_5","Training_5","0"
"5500024032848101507997.F03.CEL","Compound","MCF7_6","Training_6","0"
"5500024030402071707277.F10.CEL","Compound","MCF7_7","Training_7","1"
"5500024024213121906562.B07.CEL","Compound","MCF7_8","Training_8","1"
"5500024032848101507997.H04.CEL","Compound","MCF7_6","Training_9","1"
"5500024032848101507997.D01.CEL","Compound","MCF7_6","Training_10","1"
"5500024030402071707279.H02.CEL","Compound","MCF7_3","Training_11","0"
"5500024030403071907252.E04.CEL","Compound","MCF7_9","Training_12","0"
"5500024024211121606513.D09.CEL","Compound","MCF7_10","Training_13","1"
"5500024024211121606513.C12.CEL","Compound","MCF7_10","Training_14","1"
"5500024030403071907255.C09.CEL","Compound","MCF7_11","Training_15","1"
"5500024024213121906562.F07.CEL","Compound","MCF7_8","Training_16","1"
"5500024030402071707277.A10.CEL","Compound","MCF7_7","Training_17","0"
"5500024030402071707277.F11.CEL","Compound","MCF7_7","Training_18","0"
"5500024024211121606513.H10.CEL","Compound","MCF7_10","Training_19","1"
"5500024030700072107988.G09.CEL","Compound","MCF7_12","Training_20","0"
"5500024030700072107994.E04.CEL","Compound","MCF7_13","Training_21","1"
"5500024024213121906562.F11.CEL","Compound","MCF7_8","Training_22","1"
"5500024035101021908499.D02.CEL","Compound","MCF7_14","Training_23","0"
"5500024030403071907255.D01.CEL","Compound","MCF7_1","Training_24","1"
"5500024028849050407169.D03.CEL","Compound","MCF7_15","Training_25","1"
"5500024035736031208618.D09.CEL","Compound","MCF7_16","Training_26","1"
"5500024030760072207031.H08.CEL","Compound","MCF7_18","Training_28","1"
"5500024034290101707045.H06.CEL","Compound","MCF7_19","Training_29","0"
"5500024030700072107988.G12.CEL","Compound","MCF7_12","Training_30","1"
"5500024034290101707045.C06.CEL","Compound","MCF7_19","Training_31","1"
"5500024030403071907257.H09.CEL","Compound","MCF7_20","Training_32","1"
"5500024030760072207031.B09.CEL","Compound","MCF7_18","Training_33","1"
"5500024024214122006606.F01.CEL","Compound","MCF7_21","Training_34","1"
"5500024030700072107994.E06.CEL","Compound","MCF7_13","Training_35","1"
"5500024030700072107994.H05.CEL","Compound","MCF7_13","Training_36","1"
"5500024024213121906562.C01.CEL","Compound","MCF7_22","Training_37","1"
"5500024031330081907228.C08.CEL","Compound","MCF7_23","Training_38","1"
"5500024030402071707279.E07.CEL","Compound","MCF7_24","Training_39","1"
"5500024035101021908499.F08.CEL","Compound","MCF7_25","Training_40","1"
"5500024053146032309538.C05.CEL","Compound","MCF7_26","Training_42","0"
"5500024024213121906562.F08.CEL","Compound","MCF7_8","Training_43","0"
"5500024028416032807794.E10.CEL","Compound","MCF7_27","Training_44","0"
"5500024030403071907255.D12.CEL","Compound","MCF7_11","Training_46","1"
"5500024030402071707277.H08.CEL","Compound","MCF7_7","Training_48","0"
"5500024024214122006606.B04.CEL","Compound","MCF7_21","Training_49","0"
"5500024032848101507997.C10.CEL","Compound","MCF7_30","Training_51","0"
"5500024024213121906562.A09.CEL","Compound","MCF7_8","Training_52","0"
"5500024037289120508304.A07.CEL","Compound","MCF7_31","Training_53","1"
